Run Script Log: hidden_state = 256, input_state = 256, epoch = 20, data rows = 13679, save path = save/model_256.tch
You should call this after loading model parameters
Start train, epoch = 20
Start epoch0
Inited s-bert model using paraphrase-distilroberta-base-v1
561/13679, now: 2021-01-10 20:34:00
562/13679, now: 2021-01-10 20:34:02
563/13679, now: 2021-01-10 20:34:06
564/13679, now: 2021-01-10 20:34:07
565/13679, now: 2021-01-10 20:34:08
566/13679, now: 2021-01-10 20:34:09
567/13679, now: 2021-01-10 20:34:10
568/13679, now: 2021-01-10 20:34:13
569/13679, now: 2021-01-10 20:34:14
570/13679, now: 2021-01-10 20:34:15
571/13679, now: 2021-01-10 20:34:16
572/13679, now: 2021-01-10 20:34:16
573/13679, now: 2021-01-10 20:34:17
574/13679, now: 2021-01-10 20:34:19
575/13679, now: 2021-01-10 20:34:20
576/13679, now: 2021-01-10 20:34:20
577/13679, now: 2021-01-10 20:34:25
578/13679, now: 2021-01-10 20:34:25
579/13679, now: 2021-01-10 20:34:26
580/13679, now: 2021-01-10 20:34:28
581/13679, now: 2021-01-10 20:34:29
582/13679, now: 2021-01-10 20:34:37
583/13679, now: 2021-01-10 20:34:40
584/13679, now: 2021-01-10 20:34:54
585/13679, now: 2021-01-10 20:34:55
586/13679, now: 2021-01-10 20:34:58
587/13679, now: 2021-01-10 20:34:59
588/13679, now: 2021-01-10 20:35:00
589/13679, now: 2021-01-10 20:35:01
590/13679, now: 2021-01-10 20:35:01
591/13679, now: 2021-01-10 20:35:03
592/13679, now: 2021-01-10 20:35:06
593/13679, now: 2021-01-10 20:35:06
594/13679, now: 2021-01-10 20:35:08
595/13679, now: 2021-01-10 20:35:12
596/13679, now: 2021-01-10 20:35:12
597/13679, now: 2021-01-10 20:35:13
598/13679, now: 2021-01-10 20:35:15
599/13679, now: 2021-01-10 20:35:23
600/13679, now: 2021-01-10 20:35:23
601/13679, now: 2021-01-10 20:35:25
602/13679, now: 2021-01-10 20:35:26
603/13679, now: 2021-01-10 20:35:27
604/13679, now: 2021-01-10 20:35:28
605/13679, now: 2021-01-10 20:35:28
606/13679, now: 2021-01-10 20:35:29
607/13679, now: 2021-01-10 20:35:29
608/13679, now: 2021-01-10 20:35:31
609/13679, now: 2021-01-10 20:35:33
610/13679, now: 2021-01-10 20:35:34
611/13679, now: 2021-01-10 20:35:35
612/13679, now: 2021-01-10 20:35:35
613/13679, now: 2021-01-10 20:35:36
614/13679, now: 2021-01-10 20:35:37
615/13679, now: 2021-01-10 20:35:39
616/13679, now: 2021-01-10 20:35:40
617/13679, now: 2021-01-10 20:35:41
618/13679, now: 2021-01-10 20:35:41
619/13679, now: 2021-01-10 20:35:42
620/13679, now: 2021-01-10 20:35:43
621/13679, now: 2021-01-10 20:35:46
